,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10023,2.0,3.0,0.0,0.0,3.0,5.0,7.0,11.0,2.0,8.0,1.0,4.0,6.0,1.0,31.0,14.0,-16.935,4.0,3.0,0.0,0.0,4.0,6.0,1.0,12.0,3.0,9.0,1.0,5.0,7.0,2.0,0.0
10024,4.0,3.0,0.0,0.0,4.0,6.0,1.0,12.0,3.0,9.0,1.0,5.0,7.0,2.0,15.0,17.0,-22.005000000000003,4.0,3.0,0.0,0.0,5.0,7.0,2.0,1.0,4.0,10.0,2.0,6.0,8.0,3.0,0.0
10025,4.0,3.0,0.0,0.0,5.0,7.0,2.0,1.0,4.0,10.0,2.0,6.0,8.0,3.0,29.0,47.0,-22.48,4.0,1.0,0.0,0.0,6.0,8.0,3.0,2.0,5.0,1.0,3.0,7.0,9.0,1.0,0.0
10026,4.0,1.0,0.0,0.0,6.0,8.0,3.0,2.0,5.0,1.0,3.0,7.0,9.0,1.0,47.0,2.0,-29.599999999999998,2.0,1.0,0.0,0.0,1.0,9.0,4.0,3.0,6.0,2.0,4.0,8.0,10.0,1.0,0.0
10027,2.0,1.0,0.0,0.0,1.0,9.0,4.0,3.0,6.0,2.0,4.0,8.0,10.0,1.0,9.0,5.0,-7.07,2.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,7.0,3.0,5.0,9.0,11.0,2.0,0.0
10028,2.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,7.0,3.0,5.0,9.0,11.0,2.0,44.0,47.0,-23.975,2.0,0.0,0.0,0.0,3.0,2.0,6.0,5.0,8.0,4.0,6.0,10.0,1.0,1.0,0.0
10029,2.0,0.0,0.0,0.0,3.0,2.0,6.0,5.0,8.0,4.0,6.0,10.0,1.0,1.0,35.0,47.0,-33.795,2.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,9.0,5.0,7.0,1.0,2.0,1.0,0.0
10030,2.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,9.0,5.0,7.0,1.0,2.0,1.0,3.0,34.0,-14.165000000000001,2.0,2.0,0.0,0.0,1.0,4.0,8.0,7.0,10.0,6.0,1.0,2.0,3.0,2.0,0.0
10031,2.0,2.0,0.0,0.0,1.0,4.0,8.0,7.0,10.0,6.0,1.0,2.0,3.0,2.0,20.0,47.0,-24.505000000000003,2.0,2.0,0.0,0.0,2.0,5.0,9.0,8.0,1.0,7.0,2.0,3.0,4.0,1.0,0.0
10032,2.0,2.0,0.0,0.0,2.0,5.0,9.0,8.0,1.0,7.0,2.0,3.0,4.0,1.0,10.0,12.0,-19.18,2.0,2.0,0.0,0.0,3.0,6.0,1.0,9.0,2.0,8.0,3.0,4.0,5.0,2.0,0.0
