,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10023,9.0,0.0,4.0,0.0,7.0,5.0,2.0,8.0,1.0,7.0,2.0,1.0,5.0,6.0,25.0,49.0,-10.454999999999998,9.0,0.0,4.0,0.0,8.0,6.0,3.0,9.0,2.0,1.0,3.0,2.0,6.0,1.0,0.0
10024,9.0,0.0,4.0,0.0,8.0,6.0,3.0,9.0,2.0,1.0,3.0,2.0,6.0,1.0,9.0,2.0,-5.5600000000000005,9.0,0.0,2.0,0.0,1.0,1.0,4.0,10.0,3.0,2.0,4.0,3.0,7.0,2.0,0.0
10025,9.0,0.0,2.0,0.0,1.0,1.0,4.0,10.0,3.0,2.0,4.0,3.0,7.0,2.0,34.0,11.0,-12.58,9.0,0.0,4.0,0.0,2.0,2.0,1.0,11.0,4.0,3.0,1.0,4.0,8.0,3.0,0.0
10026,9.0,0.0,4.0,0.0,2.0,2.0,1.0,11.0,4.0,3.0,1.0,4.0,8.0,3.0,39.0,42.0,-13.774999999999999,9.0,0.0,2.0,0.0,3.0,3.0,2.0,12.0,5.0,4.0,2.0,1.0,1.0,4.0,0.0
10027,9.0,0.0,2.0,0.0,3.0,3.0,2.0,12.0,5.0,4.0,2.0,1.0,1.0,4.0,33.0,45.0,-5.96,9.0,2.0,2.0,0.0,4.0,4.0,3.0,13.0,6.0,5.0,1.0,2.0,2.0,1.0,0.0
10028,9.0,2.0,2.0,0.0,4.0,4.0,3.0,13.0,6.0,5.0,1.0,2.0,2.0,1.0,24.0,18.0,-10.64,9.0,0.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,6.0,2.0,3.0,3.0,2.0,0.0
10029,9.0,0.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,6.0,2.0,3.0,3.0,2.0,39.0,2.0,-6.8100000000000005,9.0,0.0,0.0,2.0,1.0,6.0,5.0,2.0,2.0,7.0,3.0,1.0,4.0,3.0,0.0
10030,9.0,0.0,0.0,2.0,1.0,6.0,5.0,2.0,2.0,7.0,3.0,1.0,4.0,3.0,27.0,11.0,-13.894999999999996,7.0,0.0,2.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,0.0
10031,7.0,0.0,2.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,9.0,42.0,-10.285,7.0,0.0,0.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,0.0
10032,7.0,0.0,0.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,34.0,45.0,-4.859999999999999,7.0,0.0,0.0,2.0,4.0,2.0,3.0,5.0,5.0,3.0,1.0,4.0,2.0,1.0,0.0
