,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10015,4.0,2.0,0.0,3.0,0.0,1.0,13.0,2.0,13.0,13.0,5.0,16.0,6.0,1.0,2.0,3.0,1.0,1.0,16.0,7.0,14.0,43.0,44.0,20.0,-28.061666666666664,4.0,4.0,0.0,1.0,0.0,1.0,14.0,3.0,14.0,14.0,1.0,17.0,7.0,2.0,1.0,4.0,2.0,2.0,17.0,8.0,15.0,0.0
10016,4.0,4.0,0.0,1.0,0.0,1.0,14.0,3.0,14.0,14.0,1.0,17.0,7.0,2.0,1.0,4.0,2.0,2.0,17.0,8.0,15.0,54.0,47.0,59.0,-23.568333333333335,4.0,2.0,0.0,1.0,0.0,0.0,15.0,4.0,15.0,15.0,2.0,18.0,8.0,3.0,2.0,1.0,1.0,1.0,18.0,9.0,16.0,0.0
10017,4.0,2.0,0.0,1.0,0.0,0.0,15.0,4.0,15.0,15.0,2.0,18.0,8.0,3.0,2.0,1.0,1.0,1.0,18.0,9.0,16.0,43.0,51.0,20.0,-24.544999999999998,4.0,4.0,2.0,1.0,0.0,0.0,16.0,5.0,16.0,16.0,1.0,19.0,9.0,4.0,1.0,2.0,1.0,2.0,19.0,10.0,17.0,0.0
10018,4.0,4.0,2.0,1.0,0.0,0.0,16.0,5.0,16.0,16.0,1.0,19.0,9.0,4.0,1.0,2.0,1.0,2.0,19.0,10.0,17.0,43.0,47.0,20.0,-23.263333333333335,4.0,6.0,0.0,1.0,0.0,0.0,17.0,6.0,17.0,17.0,1.0,20.0,10.0,5.0,1.0,1.0,2.0,3.0,20.0,11.0,18.0,0.0
10019,4.0,6.0,0.0,1.0,0.0,0.0,17.0,6.0,17.0,17.0,1.0,20.0,10.0,5.0,1.0,1.0,2.0,3.0,20.0,11.0,18.0,54.0,38.0,9.0,-24.946666666666665,4.0,4.0,0.0,3.0,0.0,0.0,18.0,1.0,18.0,18.0,2.0,21.0,11.0,1.0,2.0,2.0,1.0,4.0,21.0,12.0,19.0,0.0
10020,4.0,4.0,0.0,3.0,0.0,0.0,18.0,1.0,18.0,18.0,2.0,21.0,11.0,1.0,2.0,2.0,1.0,4.0,21.0,12.0,19.0,54.0,47.0,59.0,-25.015,4.0,2.0,0.0,3.0,0.0,0.0,19.0,2.0,19.0,19.0,3.0,22.0,12.0,2.0,3.0,1.0,1.0,1.0,22.0,13.0,20.0,0.0
10021,4.0,2.0,0.0,3.0,0.0,0.0,19.0,2.0,19.0,19.0,3.0,22.0,12.0,2.0,3.0,1.0,1.0,1.0,22.0,13.0,20.0,54.0,51.0,59.0,-27.89666666666667,4.0,0.0,2.0,3.0,0.0,0.0,20.0,3.0,20.0,20.0,4.0,23.0,13.0,3.0,4.0,2.0,1.0,1.0,23.0,14.0,21.0,0.0
10022,4.0,0.0,2.0,3.0,0.0,0.0,20.0,3.0,20.0,20.0,4.0,23.0,13.0,3.0,4.0,2.0,1.0,1.0,23.0,14.0,21.0,31.0,47.0,20.0,-25.305,6.0,0.0,0.0,3.0,0.0,0.0,21.0,4.0,21.0,21.0,1.0,24.0,1.0,4.0,5.0,1.0,2.0,2.0,24.0,15.0,22.0,0.0
10023,6.0,0.0,0.0,3.0,0.0,0.0,21.0,4.0,21.0,21.0,1.0,24.0,1.0,4.0,5.0,1.0,2.0,2.0,24.0,15.0,22.0,43.0,74.0,59.0,-36.15166666666667,6.0,2.0,0.0,1.0,0.0,0.0,22.0,5.0,22.0,22.0,2.0,25.0,2.0,5.0,1.0,2.0,3.0,1.0,25.0,16.0,1.0,0.0
10024,6.0,2.0,0.0,1.0,0.0,0.0,22.0,5.0,22.0,22.0,2.0,25.0,2.0,5.0,1.0,2.0,3.0,1.0,25.0,16.0,1.0,11.0,15.0,57.0,-29.96666666666667,8.0,2.0,0.0,1.0,0.0,0.0,23.0,6.0,1.0,1.0,3.0,26.0,3.0,6.0,2.0,3.0,4.0,1.0,26.0,17.0,2.0,0.0
