,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10000,9.707420349121094,0.9175383448600769,2.7391810417175293,1.0510706901550293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.9265974760055542,-0.07606054842472076,10.0,-0.11780378222465515,-1.7742058038711548,-14.476049918869345,7.7808228731155396,0.8414777964353561,2.621377259492874,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
10001,7.7808228731155396,0.8414777964353561,2.621377259492874,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.9546743631362915,-0.36435413360595703,10.0,-1.2034016847610474,-1.891252040863037,-16.440617377593238,5.826148509979248,0.4771236628293991,1.4179755747318268,0.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
10002,5.826148509979248,0.4771236628293991,1.4179755747318268,0.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,-1.6471441984176636,-1.2307229042053223,4.0,0.5275371670722961,-1.709566593170166,-28.40596891934164,4.1790043115615845,0.0,1.945512741804123,0.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0
10003,4.1790043115615845,0.0,1.945512741804123,0.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,-1.6980981826782227,0.013009744696319103,10.0,-0.38340094685554504,-0.405064195394516,-24.751055995492333,2.480906128883362,0.013009744696319103,1.5621117949485779,0.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,0.0
10004,2.480906128883362,0.013009744696319103,1.5621117949485779,0.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,-0.8024042248725891,-0.5283398628234863,4.0,1.4123541116714478,0.025347722694277763,-33.05982278705628,1.6785019040107727,0.0,2.9744659066200256,0.025347722694277763,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0
10005,1.6785019040107727,0.0,2.9744659066200256,0.025347722694277763,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,-1.2456810474395752,1.3453041315078735,4.0,-1.7194254398345947,-0.10608134418725967,-7.760445265517156,0.4328208565711975,1.3453041315078735,1.255040466785431,0.0,1.0,7.0,2.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,0.0
10006,0.4328208565711975,1.3453041315078735,1.255040466785431,0.0,1.0,7.0,2.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,2.0,-0.028586676344275475,-1.5098881721496582,3.0,-1.1383033990859985,0.36578118801116943,-34.76493229456711,0.40423418022692204,0.0,0.11673706769943237,0.36578118801116943,2.0,8.0,1.0,1.0,2.0,8.0,8.0,8.0,8.0,8.0,0.0
10007,0.40423418022692204,0.0,0.11673706769943237,0.36578118801116943,2.0,8.0,1.0,1.0,2.0,8.0,8.0,8.0,8.0,8.0,5.0,1.538946270942688,1.3235810995101929,4.0,0.3630591332912445,0.5024186372756958,-23.42746094361894,1.94318045116961,1.3235810995101929,0.4797962009906769,0.8681998252868652,3.0,9.0,2.0,2.0,1.0,1.0,9.0,9.0,9.0,9.0,0.0
10008,1.94318045116961,1.3235810995101929,0.4797962009906769,0.8681998252868652,3.0,9.0,2.0,2.0,1.0,1.0,9.0,9.0,9.0,9.0,8.0,1.379427433013916,0.31129321455955505,3.0,-0.994711697101593,0.9053595662117004,-16.61615341100203,3.322607884183526,1.634874314069748,0.0,1.7735593914985657,4.0,10.0,3.0,1.0,2.0,2.0,10.0,10.0,1.0,10.0,0.0
10009,3.322607884183526,1.634874314069748,0.0,1.7735593914985657,4.0,10.0,3.0,1.0,2.0,2.0,10.0,10.0,1.0,10.0,10.0,0.981967031955719,-0.3916420340538025,3.0,0.26075777411460876,0.07160796225070953,-6.3,4.304574916139245,1.2432322800159454,0.26075777411460876,1.8451673537492752,5.0,11.0,4.0,1.0,3.0,3.0,11.0,11.0,2.0,11.0,0.0
