episode,epsilon,steps,global_step,team_return,shaped_team_return,agent_returns,shaped_agent_returns,total_power,total_risk_events,total_movement_distance,total_wasted_move,total_goal_completions,final_mean_aoi
1,0.9505,100,600,-3260.236328125,-3273.96044921875,"[-3266.64111328125, -3253.83154296875]","[-3271.99609375, -3275.925048828125]",2.132335923903156,4,240.5498161315918,66.1963808122906,11,8.6
2,0.9406,100,700,-2911.3671875,-2937.06787109375,"[-2848.155517578125, -2974.5791015625]","[-2881.5517578125, -2992.583740234375]",2.120467454311438,1,185.0889893770218,146.5230270539732,20,13.0
3,0.9307,100,800,-2929.30224609375,-2972.03369140625,"[-2665.19970703125, -3193.404541015625]","[-2715.46875, -3228.5986328125]",2.2362020779110026,0,142.7506955564022,188.1182505786419,12,10.8
4,0.9208,100,900,-2463.03466796875,-2516.77978515625,"[-2497.9306640625, -2428.138671875]","[-2556.4853515625, -2477.073974609375]",1.5850350852415431,0,106.84792046248913,217.65480309465886,7,11.4
5,0.9109,100,1000,-2322.67724609375,-2379.942138671875,"[-1898.826416015625, -2746.5283203125]","[-1963.1402587890625, -2796.744140625]",1.2063779620220885,0,75.663842394948,250.60994696675772,12,23.9
6,0.901,100,1100,-2652.81396484375,-2712.02294921875,"[-2202.503662109375, -3103.1240234375]","[-2262.718994140625, -3161.3271484375]",0.7750139252166264,0,91.98865015804768,248.4471142099153,4,17.0
7,0.8911,100,1200,-3017.6220703125,-3074.72998046875,"[-2740.9140625, -3294.330322265625]","[-2805.07763671875, -3344.382080078125]",0.49042129470035434,0,101.83676409721375,234.78569445759058,4,53.2
8,0.8812,100,1300,-4196.78857421875,-4269.359375,"[-4012.29541015625, -4381.28173828125]","[-4094.97509765625, -4443.7431640625]",0.07308820734033361,1,100.95358937978745,278.5161642522553,0,67.6
9,0.8713,100,1400,-4201.33837890625,-4267.8017578125,"[-4271.17529296875, -4131.50146484375]","[-4343.25390625, -4192.34912109375]",0.09023804008029401,1,89.96626310050488,262.11430687457323,1,75.9
10,0.8613999999999999,100,1500,-4422.6201171875,-4480.6240234375,"[-4406.89453125, -4438.34521484375]","[-4477.484375, -4483.76318359375]",0.035720316926017404,0,112.89632639288902,242.15710218250751,1,80.6
11,0.8515,100,1600,-4833.14453125,-4900.3369140625,"[-4825.59912109375, -4840.68994140625]","[-4907.91064453125, -4892.7626953125]",0.007545480504631996,0,94.22803468257189,266.1698739426391,0,94.3
12,0.8416,100,1700,-5299.0,-5368.18505859375,"[-5449.0, -5149.0]","[-5533.48291015625, -5202.88720703125]",0.0,1,85.04054026305676,269.9410827457905,0,100.0
13,0.8317,100,1800,-5299.0,-5366.06591796875,"[-5449.0, -5149.0]","[-5533.197265625, -5198.9345703125]",0.0,1,89.05546098947525,263.1820888417022,0,100.0
14,0.8218,100,1900,-5149.0,-5218.6787109375,"[-5149.0, -5149.0]","[-5228.92578125, -5208.43212890625]",0.0,0,73.09497595578432,284.4938157937567,0,100.0
15,0.8119000000000001,100,2000,-5299.0,-5369.91650390625,"[-5449.0, -5149.0]","[-5530.0458984375, -5209.787109375]",0.0,1,68.73982007801533,286.6720601320267,0,100.0
16,0.802,100,2100,-5299.0,-5368.84765625,"[-5449.0, -5149.0]","[-5528.8984375, -5208.79736328125]",0.0,1,63.53035354614258,279.52022010087967,0,100.0
17,0.7921,100,2200,-5149.0,-5221.12060546875,"[-5149.0, -5149.0]","[-5230.63525390625, -5211.60595703125]",0.0,0,67.45444478094578,284.81105928495526,0,100.0
18,0.7822,100,2300,-5149.0,-5222.15576171875,"[-5149.0, -5149.0]","[-5230.837890625, -5213.4736328125]",0.0,0,59.62810542434454,293.8518153131008,0,100.0
19,0.7723,100,2400,-5149.0,-5222.681640625,"[-5149.0, -5149.0]","[-5231.60888671875, -5213.7548828125]",0.0,0,76.43155634403229,290.0794528722763,0,100.0
20,0.7624,100,2500,-5149.0,-5221.5576171875,"[-5149.0, -5149.0]","[-5228.87451171875, -5214.24072265625]",0.0,0,61.559503972530365,291.262111723423,0,100.0
21,0.7525,100,2600,-5149.0,-5222.30712890625,"[-5149.0, -5149.0]","[-5233.2080078125, -5211.40625]",0.0,0,66.29874704778194,283.6081740260124,0,100.0
22,0.7425999999999999,100,2700,-5299.0,-5371.6123046875,"[-5449.0, -5149.0]","[-5532.9091796875, -5210.3154296875]",0.0,1,84.77853175997734,289.2134507149458,0,100.0
23,0.7326999999999999,100,2800,-5149.0,-5217.34521484375,"[-5149.0, -5149.0]","[-5229.26416015625, -5205.42626953125]",0.0,0,70.66135941259563,277.9606059193611,0,100.0
24,0.7228,100,2900,-5299.0,-5373.40380859375,"[-5449.0, -5149.0]","[-5536.7724609375, -5210.03515625]",0.0,1,68.85284988582134,294.572502553463,0,100.0
25,0.7129000000000001,100,3000,-5149.0,-5223.4189453125,"[-5149.0, -5149.0]","[-5233.77099609375, -5213.06689453125]",0.0,0,76.49727854132652,294.2003415665667,0,100.0
26,0.7030000000000001,100,3100,-5149.0,-5222.1826171875,"[-5149.0, -5149.0]","[-5228.9443359375, -5215.42041015625]",0.0,0,60.87975259125233,294.3502929210663,0,100.0
27,0.6931,100,3200,-5299.0,-5367.79248046875,"[-5449.0, -5149.0]","[-5528.36279296875, -5207.22216796875]",0.0,1,67.64857180416584,279.1910855770111,0,100.0
28,0.6832,100,3300,-5299.0,-5369.361328125,"[-5449.0, -5149.0]","[-5532.126953125, -5206.59619140625]",0.0,1,65.01750610768795,283.15118396282196,0,100.0
29,0.6733,100,3400,-5149.0,-5215.74462890625,"[-5149.0, -5149.0]","[-5230.74609375, -5200.7431640625]",0.0,0,57.93341975659132,264.81477373838425,0,100.0
30,0.6634,100,3500,-5149.0,-5217.6630859375,"[-5149.0, -5149.0]","[-5235.419921875, -5199.90625]",0.0,0,67.84357517957687,267.2052168250084,0,100.0
31,0.6535,100,3600,-5299.0,-5363.9501953125,"[-5449.0, -5149.0]","[-5527.06689453125, -5200.8330078125]",0.0,1,76.33766587078571,263.7573035955429,0,100.0
32,0.6436,100,3700,-5149.0,-5212.76220703125,"[-5149.0, -5149.0]","[-5231.72216796875, -5193.80224609375]",0.0,0,68.68403262272477,256.3710343539715,0,100.0
33,0.6336999999999999,100,3800,-5299.0,-5365.3095703125,"[-5449.0, -5149.0]","[-5534.29638671875, -5196.3232421875]",0.0,1,73.32691255584359,251.4522889163345,0,100.0
34,0.6238,100,3900,-5149.0,-5208.59375,"[-5149.0, -5149.0]","[-5227.923828125, -5189.26318359375]",0.0,0,83.95914974808693,231.74808376282454,0,100.0
35,0.6139,100,4000,-5149.0,-5207.212890625,"[-5149.0, -5149.0]","[-5228.07275390625, -5186.3525390625]",0.0,0,78.68874803930521,234.9001596570015,0,100.0
36,0.604,100,4100,-5149.0,-5208.6826171875,"[-5149.0, -5149.0]","[-5228.89892578125, -5188.46630859375]",0.0,0,84.17567487061024,238.0184392631054,0,100.0
37,0.5941000000000001,100,4200,-5149.0,-5202.26953125,"[-5149.0, -5149.0]","[-5225.8740234375, -5178.66455078125]",0.0,0,66.95251055108383,221.8413528474228,0,100.0
38,0.5842,100,4300,-5149.0,-5209.08349609375,"[-5149.0, -5149.0]","[-5230.552734375, -5187.6142578125]",0.0,0,67.64761416614056,240.68269473314285,0,100.0
39,0.5743,100,4400,-5149.0,-5206.28125,"[-5149.0, -5149.0]","[-5230.7197265625, -5181.84228515625]",0.0,0,73.3948492705822,226.69975425116718,0,100.0
40,0.5644,100,4500,-5149.0,-5207.89501953125,"[-5149.0, -5149.0]","[-5229.23876953125, -5186.55126953125]",0.0,0,65.10417717508972,238.02518606185913,0,100.0
41,0.5545,100,4600,-5149.0,-5209.0546875,"[-5149.0, -5149.0]","[-5227.5419921875, -5190.56689453125]",0.0,0,61.563217552378774,243.8393189907074,0,100.0
42,0.5446,100,4700,-5149.0,-5205.2890625,"[-5149.0, -5149.0]","[-5231.736328125, -5178.84228515625]",0.0,0,73.96653787232935,227.5838177204132,0,100.0
43,0.5347,100,4800,-5149.0,-5203.5595703125,"[-5149.0, -5149.0]","[-5229.6943359375, -5177.4248046875]",0.0,0,70.82893409579992,222.7885947227478,0,100.0
44,0.5248,100,4900,-5149.0,-5205.45751953125,"[-5149.0, -5149.0]","[-5233.08935546875, -5177.82568359375]",0.0,0,79.19683646410704,215.64306359196706,0,100.0
45,0.5149,100,5000,-5149.0,-5202.84765625,"[-5149.0, -5149.0]","[-5225.63232421875, -5180.0634765625]",0.0,0,66.25171421468258,219.76494073867798,0,100.0
46,0.505,100,5100,-5149.0,-5199.39697265625,"[-5149.0, -5149.0]","[-5220.69140625, -5178.1025390625]",0.0,0,78.86365950852633,203.13749581575394,0,100.0
47,0.4951,100,5200,-5149.0,-5205.0322265625,"[-5149.0, -5149.0]","[-5230.53955078125, -5179.52490234375]",0.0,0,73.56539719179273,211.84219801425934,0,100.0
48,0.48519999999999996,100,5300,-5149.0,-5201.00830078125,"[-5149.0, -5149.0]","[-5222.951171875, -5179.0654296875]",0.0,0,80.386250898242,209.3009142205119,0,100.0
49,0.47529999999999994,100,5400,-5299.0,-5346.9501953125,"[-5449.0, -5149.0]","[-5523.95654296875, -5169.94384765625]",0.0,1,86.17925179004669,197.537423402071,0,100.0
50,0.4653999999999999,100,5500,-5149.0,-5198.97412109375,"[-5149.0, -5149.0]","[-5227.79541015625, -5170.15283203125]",0.0,0,88.50309311971068,187.07428465783596,0,100.0
51,0.4555,100,5600,-5149.0,-5192.9736328125,"[-5149.0, -5149.0]","[-5212.97265625, -5172.97509765625]",0.0,0,98.39723572134972,183.692765802145,0,100.0
52,0.4456,100,5700,-5149.0,-5197.1259765625,"[-5149.0, -5149.0]","[-5225.85546875, -5168.39697265625]",0.0,0,96.89445732533932,196.8624005317688,0,100.0
53,0.4357000000000001,100,5800,-5299.0,-5346.869140625,"[-5449.0, -5149.0]","[-5521.962890625, -5171.775390625]",0.0,1,88.58740565739572,193.20512366387993,0,100.0
