episode,epsilon,steps,global_step,team_return,agent_returns,total_power,total_risk_events,total_movement_distance,final_mean_aoi
49,0.47529999999999994,100,5400,-2660.43603515625,"[-2660.43603515625, -2660.43603515625]",1.5925438909907825,1,200.01477003097534,37.7
50,0.4653999999999999,100,5500,-2479.07275390625,"[-2479.07275390625, -2479.07275390625]",1.6026892910595052,0,169.0116297584027,34.7
51,0.4555,100,5600,-2750.416015625,"[-2750.416015625, -2750.416015625]",1.8576652822084725,0,167.08150452375412,40.5
52,0.4456,100,5700,-2614.8486328125,"[-2614.8486328125, -2614.8486328125]",1.5465962839662097,0,215.51809817552567,42.5
53,0.4357000000000001,100,5800,-2645.8876953125,"[-2645.8876953125, -2645.8876953125]",1.98435037911986,0,190.49385130405426,41.4
54,0.42580000000000007,100,5900,-2789.934814453125,"[-2789.934814453125, -2789.934814453125]",2.2525373995304108,1,192.6067544221878,38.0
55,0.41590000000000005,100,6000,-2672.021728515625,"[-2672.021728515625, -2672.021728515625]",1.4864847665885463,0,200.2994138598442,38.1
56,0.406,100,6100,-2947.770751953125,"[-2947.770751953125, -2947.770751953125]",2.6050841556861997,0,152.76685428619385,45.8
57,0.3961,100,6200,-2620.95166015625,"[-2620.95166015625, -2620.95166015625]",1.7578055848134682,0,217.0682897567749,36.2
58,0.3862,100,6300,-2764.75341796875,"[-2764.75341796875, -2764.75341796875]",1.9174156697408762,0,212.40938732028008,47.2
59,0.37629999999999997,100,6400,-2919.07470703125,"[-2919.07470703125, -2919.07470703125]",2.3414998943335377,0,206.67525386810303,47.7
60,0.36639999999999995,100,6500,-2846.930419921875,"[-2846.930419921875, -2846.930419921875]",1.90572300661006,0,189.63250923156738,44.3
61,0.35650000000000004,100,6600,-2850.769287109375,"[-2850.769287109375, -2850.769287109375]",2.0342776384204626,0,193.42377877235413,46.1
62,0.3466,100,6700,-3141.1064453125,"[-3141.1064453125, -3141.1064453125]",2.1824230113998055,0,191.4847989678383,49.7
63,0.3367,100,6800,-2773.160888671875,"[-2773.160888671875, -2773.160888671875]",2.0702411582460627,0,193.41587311029434,40.4
64,0.3268,100,6900,-3007.911865234375,"[-3007.911865234375, -3007.911865234375]",2.338448094204068,0,164.24495923519135,51.0
65,0.31690000000000007,100,7000,-2806.46630859375,"[-2806.46630859375, -2806.46630859375]",2.213464868022129,0,213.38536179065704,40.9
66,0.30700000000000005,100,7100,-2734.271484375,"[-2734.271484375, -2734.271484375]",2.0194858679606114,0,183.80951300263405,43.3
67,0.29710000000000003,100,7200,-3061.53564453125,"[-3061.53564453125, -3061.53564453125]",2.2833431324688718,0,197.79694798588753,50.6
68,0.2872,100,7300,-3244.64208984375,"[-3244.64208984375, -3244.64208984375]",2.2601691198069602,1,209.79754626750946,43.7
69,0.2773,100,7400,-2876.534912109375,"[-2876.534912109375, -2876.534912109375]",1.6533384607173502,1,231.90603083372116,44.9
70,0.26739999999999997,100,7500,-2946.488037109375,"[-2946.488037109375, -2946.488037109375]",1.833153938758187,0,181.1882445216179,46.3
71,0.25750000000000006,100,7600,-3082.603515625,"[-3082.603515625, -3082.603515625]",1.8508145186351612,0,212.28787887096405,45.4
72,0.24760000000000004,100,7700,-2731.857666015625,"[-2731.857666015625, -2731.857666015625]",1.523428890039213,0,208.9542534649372,44.5
73,0.23770000000000002,100,7800,-2911.38134765625,"[-2911.38134765625, -2911.38134765625]",1.6403246376430616,0,190.34547179937363,34.5
74,0.2278,100,7900,-2547.504638671875,"[-2547.504638671875, -2547.504638671875]",1.4040167782222852,0,205.16709792613983,34.8
75,0.21789999999999998,100,8000,-2695.351318359375,"[-2695.351318359375, -2695.351318359375]",1.7618059326778166,0,169.09471006691456,36.0
76,0.20799999999999996,100,8100,-2915.615234375,"[-2915.615234375, -2915.615234375]",1.7420597423333675,0,157.95099991559982,46.6
77,0.19809999999999994,100,8200,-2636.947021484375,"[-2636.947021484375, -2636.947021484375]",1.3029890898615122,0,222.8029648065567,42.4
78,0.18820000000000003,100,8300,-2888.335693359375,"[-2888.335693359375, -2888.335693359375]",1.8489453063812107,1,196.84858253598213,35.7
79,0.17830000000000001,100,8400,-2737.65380859375,"[-2737.65380859375, -2737.65380859375]",1.4138153260864783,3,222.41889110207558,30.2
80,0.1684,100,8500,-2522.73388671875,"[-2522.73388671875, -2522.73388671875]",1.5189351467997767,0,202.17193162441254,43.7
81,0.15849999999999997,100,8600,-2897.362548828125,"[-2897.362548828125, -2897.362548828125]",1.3230486526153982,2,183.4137721657753,41.3
82,0.14860000000000007,100,8700,-3032.83349609375,"[-3032.83349609375, -3032.83349609375]",2.210131632804405,3,202.0389729589224,37.3
83,0.13870000000000005,100,8800,-2897.58154296875,"[-2897.58154296875, -2897.58154296875]",1.7771290798846167,2,192.71916738152504,34.0
84,0.12880000000000003,100,8900,-2569.64990234375,"[-2569.64990234375, -2569.64990234375]",1.189799661777215,2,219.73929092288017,39.4
85,0.1189,100,9000,-2551.760009765625,"[-2551.760009765625, -2551.760009765625]",1.4106421135365963,1,196.0521708726883,35.3
86,0.10899999999999999,100,9100,-2510.761962890625,"[-2510.761962890625, -2510.761962890625]",1.3318500610184856,2,227.40493220090866,25.7
87,0.09909999999999997,100,9200,-2573.38134765625,"[-2573.38134765625, -2573.38134765625]",1.6403246878180653,1,224.95705059170723,36.8
88,0.08919999999999995,100,9300,-2636.758056640625,"[-2636.758056640625, -2636.758056640625]",1.5462326675187796,2,225.6931364685297,36.8
89,0.07929999999999993,100,9400,-2792.475830078125,"[-2792.475830078125, -2792.475830078125]",1.6599020347348414,3,229.89908295869827,37.1
90,0.06940000000000002,100,9500,-2532.51220703125,"[-2532.51220703125, -2532.51220703125]",1.4928485989803448,1,182.78038248419762,35.4
91,0.0595,100,9600,-2253.6103515625,"[-2253.6103515625, -2253.6103515625]",2.0096425049414393,0,186.94631272554398,33.2
92,0.04960000000000009,100,9700,-2244.406494140625,"[-2244.406494140625, -2244.406494140625]",2.061225932498928,0,197.91082239151,30.6
93,0.03970000000000007,100,9800,-2417.983642578125,"[-2417.983642578125, -2417.983642578125]",1.7575336985173635,2,191.71557623147964,31.0
94,0.02980000000000005,100,9900,-2866.923828125,"[-2866.923828125, -2866.923828125]",2.6116960383951664,0,140.14460042119026,33.2
95,0.01990000000000003,100,10000,-2728.003662109375,"[-2728.003662109375, -2728.003662109375]",2.0012121603358537,2,184.2239445708692,33.4
96,0.010000000000000009,100,10100,-2442.510498046875,"[-2442.510498046875, -2442.510498046875]",2.0716439047828317,0,181.57880252599716,33.6
97,0.010000000000000009,100,10200,-2297.892333984375,"[-2297.892333984375, -2297.892333984375]",2.469969101715833,1,162.06765747070312,27.0
98,0.010000000000000009,100,10300,-2481.09912109375,"[-2481.09912109375, -2481.09912109375]",2.3983985043596476,0,189.77430376410484,32.5
99,0.010000000000000009,100,10400,-2713.560546875,"[-2713.560546875, -2713.560546875]",2.3634423799812794,2,171.65498492121696,32.3
100,0.010000000000000009,100,10500,-2352.501708984375,"[-2352.501708984375, -2352.501708984375]",2.008008142467588,0,197.32171830534935,32.6
101,0.010000000000000009,100,10600,-2563.5087890625,"[-2563.5087890625, -2563.5087890625]",1.6552345659583807,2,214.68547695875168,33.5
102,0.010000000000000009,100,10700,-2160.346923828125,"[-2160.346923828125, -2160.346923828125]",1.5965878932038322,0,174.759699344635,31.5
103,0.010000000000000009,100,10800,-2290.22998046875,"[-2290.22998046875, -2290.22998046875]",1.7565201600082219,0,169.19440664350986,34.9
104,0.010000000000000009,100,10900,-2254.6875,"[-2254.6875, -2254.6875]",1.7911487326491624,0,131.87150616198778,34.0
105,0.010000000000000009,100,11000,-2364.729736328125,"[-2364.729736328125, -2364.729736328125]",1.8837183555588126,0,172.13620198518038,36.1
106,0.010000000000000009,100,11100,-2340.616943359375,"[-2340.616943359375, -2340.616943359375]",1.8460663743317127,0,161.58637845516205,34.6
107,0.010000000000000009,100,11200,-2421.77099609375,"[-2421.77099609375, -2421.77099609375]",2.0754829379729927,0,131.20240844786167,33.4
108,0.010000000000000009,100,11300,-2364.369384765625,"[-2364.369384765625, -2364.369384765625]",1.876676846994087,0,154.2223281264305,32.3
109,0.010000000000000009,100,11400,-2436.86328125,"[-2436.86328125, -2436.86328125]",1.9858525907620788,1,130.77157202363014,31.5
110,0.010000000000000009,100,11500,-2534.844482421875,"[-2534.844482421875, -2534.844482421875]",2.3381766784004867,0,101.50597397610545,36.9
111,0.010000000000000009,100,11600,-2519.722412109375,"[-2519.722412109375, -2519.722412109375]",2.2072906342800707,0,164.98654344677925,32.3
112,0.010000000000000009,100,11700,-2439.733642578125,"[-2439.733642578125, -2439.733642578125]",2.274532547686249,0,147.946619912982,36.0
113,0.010000000000000009,100,11800,-2495.01806640625,"[-2495.01806640625, -2495.01806640625]",2.1120736880693585,0,134.0691853314638,34.9
114,0.010000000000000009,100,11900,-2270.125,"[-2270.125, -2270.125]",1.8224995345808566,0,161.50800378620625,33.7
115,0.010000000000000009,100,12000,-2417.845703125,"[-2417.845703125, -2417.845703125]",1.8009829760994762,0,170.3779549896717,33.0
116,0.010000000000000009,100,12100,-2497.748779296875,"[-2497.748779296875, -2497.748779296875]",1.9957965009380132,1,182.39959874749184,35.7
117,0.010000000000000009,100,12200,-2339.417724609375,"[-2339.417724609375, -2339.417724609375]",2.758469656575471,0,167.36722725629807,32.5
118,0.010000000000000009,100,12300,-2409.04052734375,"[-2409.04052734375, -2409.04052734375]",2.623361762147397,0,166.38831102848053,35.6
119,0.010000000000000009,100,12400,-2391.093994140625,"[-2391.093994140625, -2391.093994140625]",1.2923774349037558,1,189.0551125407219,34.0
120,0.010000000000000009,100,12500,-2358.468994140625,"[-2358.468994140625, -2358.468994140625]",1.498275540303439,0,166.94971442222595,35.3
121,0.010000000000000009,100,12600,-2212.810546875,"[-2212.810546875, -2212.810546875]",1.846442576032132,0,139.33294543623924,33.0
122,0.010000000000000009,100,12700,-2334.565673828125,"[-2334.565673828125, -2334.565673828125]",2.2254622289910913,0,141.3933296725154,34.7
123,0.010000000000000009,100,12800,-2303.4033203125,"[-2303.4033203125, -2303.4033203125]",1.3260136721655726,0,146.14530682563782,33.4
124,0.010000000000000009,100,12900,-2181.603271484375,"[-2181.603271484375, -2181.603271484375]",1.6744140395894647,0,139.79755851626396,34.0
125,0.010000000000000009,100,13000,-2349.676025390625,"[-2349.676025390625, -2349.676025390625]",1.2759041108656675,0,159.0800530910492,34.3
126,0.010000000000000009,100,13100,-2287.172607421875,"[-2287.172607421875, -2287.172607421875]",1.315489157801494,0,146.1324926316738,38.0
127,0.010000000000000009,100,13200,-2281.485595703125,"[-2281.485595703125, -2281.485595703125]",1.5907420117873698,0,148.26597747206688,31.9
128,0.010000000000000009,100,13300,-2263.14111328125,"[-2263.14111328125, -2263.14111328125]",1.5653661065734923,0,149.49738143384457,34.9
129,0.010000000000000009,100,13400,-2403.294921875,"[-2403.294921875, -2403.294921875]",1.4907776392064989,0,112.97959220409393,35.9
130,0.010000000000000009,100,13500,-1971.6802978515625,"[-1971.6802978515625, -1971.6802978515625]",2.419121438637376,0,119.1978518217802,24.9
131,0.010000000000000009,100,13600,-2167.888671875,"[-2167.888671875, -2167.888671875]",1.9823542283847928,0,161.64242923259735,31.9
132,0.010000000000000009,100,13700,-2005.5269775390625,"[-2005.5269775390625, -2005.5269775390625]",2.358510249760002,0,115.92268121987581,24.7
133,0.010000000000000009,100,13800,-1974.327392578125,"[-1974.327392578125, -1974.327392578125]",2.3945079394616187,0,97.30851544439793,25.8
134,0.010000000000000009,100,13900,-1936.3907470703125,"[-1936.3907470703125, -1936.3907470703125]",2.297561910469085,0,121.98938199877739,21.6
135,0.010000000000000009,100,14000,-1810.5860595703125,"[-1810.5860595703125, -1810.5860595703125]",1.5963448821567,0,140.77850833535194,24.5
136,0.010000000000000009,100,14100,-1918.7421875,"[-1918.7421875, -1918.7421875]",2.171769381966442,0,101.38499235361814,28.0
137,0.010000000000000009,100,14200,-2122.33203125,"[-2122.33203125, -2122.33203125]",2.1101282564923167,0,122.2535371184349,30.2
138,0.010000000000000009,100,14300,-1782.443359375,"[-1782.443359375, -1782.443359375]",2.626170708332211,0,100.58744749426842,20.2
139,0.010000000000000009,100,14400,-1624.775146484375,"[-1624.775146484375, -1624.775146484375]",2.4871010589413345,0,93.3567062318325,15.4
140,0.010000000000000009,100,14500,-1480.045654296875,"[-1480.045654296875, -1480.045654296875]",2.085382522083819,0,108.15711838006973,6.2
141,0.010000000000000009,100,14600,-1774.284423828125,"[-1774.284423828125, -1774.284423828125]",2.6707368409261107,0,97.57317769527435,17.3
142,0.010000000000000009,100,14700,-1697.957275390625,"[-1697.957275390625, -1697.957275390625]",2.6810269970446825,0,118.2297772243619,17.9
143,0.010000000000000009,100,14800,-1561.8388671875,"[-1561.8388671875, -1561.8388671875]",2.024555054260418,0,115.44690084457397,17.3
144,0.010000000000000009,100,14900,-1151.7833251953125,"[-1151.7833251953125, -1151.7833251953125]",1.7967323099728674,0,122.92872755229473,9.2
145,0.010000000000000009,100,15000,-1481.55517578125,"[-1481.55517578125, -1481.55517578125]",1.5722220254829153,0,123.8664983510971,18.5
146,0.010000000000000009,100,15100,-1334.7911376953125,"[-1334.7911376953125, -1334.7911376953125]",2.0771661731414497,0,141.7399918641895,6.5
147,0.010000000000000009,100,15200,-1409.7623291015625,"[-1409.7623291015625, -1409.7623291015625]",2.4238483225926757,0,144.15901678800583,6.6
148,0.010000000000000009,100,15300,-1523.38037109375,"[-1523.38037109375, -1523.38037109375]",2.764320987975225,0,136.17859276011586,9.4
149,0.010000000000000009,100,15400,-1750.95458984375,"[-1750.95458984375, -1750.95458984375]",3.0770189040340483,0,123.26681875437498,14.5
150,0.010000000000000009,100,15500,-1455.5662841796875,"[-1455.5662841796875, -1455.5662841796875]",2.7046635495498776,0,133.51245194673538,12.5
151,0.010000000000000009,100,15600,-1312.109375,"[-1312.109375, -1312.109375]",2.456436693086289,0,163.31423199176788,5.3
152,0.010000000000000009,100,15700,-1400.3697509765625,"[-1400.3697509765625, -1400.3697509765625]",2.549878849182278,0,143.61061218380928,9.9
153,0.010000000000000009,100,15800,-1244.7349853515625,"[-1244.7349853515625, -1244.7349853515625]",2.3989397872937843,0,130.5374249368906,8.3
154,0.010000000000000009,100,15900,-1509.4381103515625,"[-1509.4381103515625, -1509.4381103515625]",2.6725520804757252,0,110.76455730199814,13.9
155,0.010000000000000009,100,16000,-1045.402099609375,"[-1045.402099609375, -1045.402099609375]",1.7356080908793956,0,132.57751640677452,7.0
156,0.010000000000000009,100,16100,-1249.667724609375,"[-1249.667724609375, -1249.667724609375]",2.1398704301100224,0,115.17641972005367,5.3
157,0.010000000000000009,100,16200,-1166.59228515625,"[-1166.59228515625, -1166.59228515625]",1.8459684825502336,1,145.09992073476315,6.1
158,0.010000000000000009,100,16300,-1117.7852783203125,"[-1117.7852783203125, -1117.7852783203125]",2.18914117757231,0,133.32011103630066,6.6
159,0.010000000000000009,100,16400,-1544.6002197265625,"[-1544.6002197265625, -1544.6002197265625]",2.5479999252129346,0,105.31620712578297,8.6
160,0.010000000000000009,100,16500,-1289.62646484375,"[-1289.62646484375, -1289.62646484375]",2.3913063450017944,0,110.65101329237223,14.3
161,0.010000000000000009,100,16600,-1147.6484375,"[-1147.6484375, -1147.6484375]",2.0333936479873955,0,89.51026212051511,8.2
162,0.010000000000000009,100,16700,-1186.914794921875,"[-1186.914794921875, -1186.914794921875]",2.1468589163850993,0,100.08939817547798,8.8
163,0.010000000000000009,100,16800,-1249.9093017578125,"[-1249.9093017578125, -1249.9093017578125]",2.3032377378549427,0,109.70962093770504,7.4
164,0.010000000000000009,100,16900,-1328.4193115234375,"[-1328.4193115234375, -1328.4193115234375]",2.1960788724245504,0,101.67177002131939,8.2
165,0.010000000000000009,100,17000,-1313.876220703125,"[-1313.876220703125, -1313.876220703125]",1.984703351277858,0,79.13954889774323,4.6
166,0.010000000000000009,100,17100,-1493.6717529296875,"[-1493.6717529296875, -1493.6717529296875]",2.089886634843424,0,93.36929435282946,23.5
167,0.010000000000000009,100,17200,-1307.3985595703125,"[-1307.3985595703125, -1307.3985595703125]",2.086393781006336,0,83.1225316375494,5.1
168,0.010000000000000009,100,17300,-1526.1031494140625,"[-1526.1031494140625, -1526.1031494140625]",1.909611377865076,0,92.50716811418533,13.8
169,0.010000000000000009,100,17400,-1358.78125,"[-1358.78125, -1358.78125]",1.9231252558529377,0,83.36165864020586,8.6
170,0.010000000000000009,100,17500,-1210.6143798828125,"[-1210.6143798828125, -1210.6143798828125]",2.0488575770286843,0,69.94524789601564,5.0
171,0.010000000000000009,100,17600,-1333.5989990234375,"[-1333.5989990234375, -1333.5989990234375]",1.8351953274104744,0,86.20949396491051,18.4
172,0.010000000000000009,100,17700,-2111.137451171875,"[-2111.137451171875, -2111.137451171875]",1.8797500510700047,0,77.76608316600323,3.6
173,0.010000000000000009,100,17800,-2208.96337890625,"[-2208.96337890625, -2208.96337890625]",1.8218541839160025,0,82.08377926051617,39.0
174,0.010000000000000009,100,17900,-1311.1053466796875,"[-1311.1053466796875, -1311.1053466796875]",1.9436201353091747,0,81.0927983187139,8.9
175,0.010000000000000009,100,18000,-1302.50341796875,"[-1302.50341796875, -1302.50341796875]",2.0820125092286617,0,79.6237780302763,6.4
176,0.010000000000000009,100,18100,-1289.8525390625,"[-1289.8525390625, -1289.8525390625]",1.9134100459050387,0,84.72893142327666,6.5
177,0.010000000000000009,100,18200,-1309.287353515625,"[-1309.287353515625, -1309.287353515625]",2.0039488920010626,0,74.5699457898736,4.9
178,0.010000000000000009,100,18300,-1184.2110595703125,"[-1184.2110595703125, -1184.2110595703125]",2.146043952088803,0,81.04968002811074,8.5
179,0.010000000000000009,100,18400,-1155.820556640625,"[-1155.820556640625, -1155.820556640625]",2.4124812388326973,0,71.53699041390792,7.9
180,0.010000000000000009,100,18500,-1367.55712890625,"[-1367.55712890625, -1367.55712890625]",2.4110274552367628,1,69.5817381371744,5.3
181,0.010000000000000009,100,18600,-1165.5389404296875,"[-1165.5389404296875, -1165.5389404296875]",2.18295618891716,0,77.68008223176003,8.8
182,0.010000000000000009,100,18700,-1205.660400390625,"[-1205.660400390625, -1205.660400390625]",2.331440675421618,0,61.20507267490029,3.6
183,0.010000000000000009,100,18800,-1083.335693359375,"[-1083.335693359375, -1083.335693359375]",2.1465439167805016,0,72.75376873463392,6.6
184,0.010000000000000009,100,18900,-1067.1387939453125,"[-1067.1387939453125, -1067.1387939453125]",2.2389547587372363,0,67.19329275563359,6.8
185,0.010000000000000009,100,19000,-1020.3467407226562,"[-1020.3467407226562, -1020.3467407226562]",2.1585868559777737,0,61.259679801762104,3.4
186,0.010000000000000009,100,19100,-1016.2517700195312,"[-1016.2517700195312, -1016.2517700195312]",2.0706060682423413,0,72.79462034627795,6.1
187,0.010000000000000009,100,19200,-1150.6839599609375,"[-1150.6839599609375, -1150.6839599609375]",2.1231351618189365,1,83.6256772428751,7.2
188,0.010000000000000009,100,19300,-1004.1708374023438,"[-1004.1708374023438, -1004.1708374023438]",2.1402830369770527,0,65.77442859113216,3.2
189,0.010000000000000009,100,19400,-1027.78173828125,"[-1027.78173828125, -1027.78173828125]",1.9715261519886553,0,73.96189469099045,8.5
190,0.010000000000000009,100,19500,-978.8533935546875,"[-978.8533935546875, -978.8533935546875]",2.051012828014791,0,69.30386747046646,5.9
191,0.010000000000000009,100,19600,-957.1148071289062,"[-957.1148071289062, -957.1148071289062]",1.8876599973300472,0,55.188999474048615,3.6
192,0.010000000000000009,100,19700,-954.7760620117188,"[-954.7760620117188, -954.7760620117188]",2.0623037344776094,0,56.50070672581205,4.7
193,0.010000000000000009,100,19800,-925.495849609375,"[-925.495849609375, -925.495849609375]",1.9315832825377584,0,53.47328540467424,4.9
194,0.010000000000000009,100,19900,-915.8953857421875,"[-915.8953857421875, -915.8953857421875]",1.9819810080807656,0,59.245639676228166,3.6
195,0.010000000000000009,100,20000,-906.5846557617188,"[-906.5846557617188, -906.5846557617188]",1.8835385933052748,0,64.75725479424,4.6
196,0.010000000000000009,100,20100,-916.1309814453125,"[-916.1309814453125, -916.1309814453125]",1.9485235495958477,0,53.09966045804322,3.9
197,0.010000000000000009,100,20200,-872.8662109375,"[-872.8662109375, -872.8662109375]",1.9126650085672736,0,61.49651083932258,4.2
198,0.010000000000000009,100,20300,-857.822265625,"[-857.822265625, -857.822265625]",1.8020893237553537,0,76.03386661410332,4.8
199,0.010000000000000009,100,20400,-841.3385620117188,"[-841.3385620117188, -841.3385620117188]",1.8069544211030006,0,65.63709269464016,3.3
200,0.010000000000000009,100,20500,-835.7074584960938,"[-835.7074584960938, -835.7074584960938]",1.7904291837476194,0,75.08559969067574,3.8
