,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10000,6.288415908813477,1.189653992652893,8.519546508789062,1.9022208452224731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,6.0,0.0,-4.269465437689659,6.46954979016399,3.181434727433333,6.675741380405091,2.6770644664911902,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10001,6.46954979016399,3.181434727433333,6.675741380405091,2.6770644664911902,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,2.0,7.0,-5.286462417363516,7.485489765117085,1.4586851969380397,5.450891772788631,4.258122159420163,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10002,7.485489765117085,1.4586851969380397,5.450891772788631,4.258122159420163,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,8.0,6.0,-5.412392522056352,5.976393792586239,2.7711749435822406,6.624091625213623,4.880804538726807,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10003,5.976393792586239,2.7711749435822406,6.624091625213623,4.880804538726807,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,2.0,7.0,-5.133349564465288,7.286062487252432,1.2596300757563739,5.088375828503518,6.162044944978738,4.0,5.0,1.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10004,7.286062487252432,1.2596300757563739,5.088375828503518,6.162044944978738,4.0,5.0,1.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0,4.0,-5.5898130585070245,5.59798378495381,2.3321925598724533,3.185790754245418,5.5454656591977445,1.0,6.0,2.0,6.0,1.0,6.0,3.0,2.0,3.0,6.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10005,5.59798378495381,2.3321925598724533,3.185790754245418,5.5454656591977445,1.0,6.0,2.0,6.0,1.0,6.0,3.0,2.0,3.0,6.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,8.0,4.0,-5.3313170687047595,4.234247348787426,3.795142633611473,1.2832056844362403,4.928886374858533,2.0,7.0,3.0,7.0,1.0,7.0,4.0,3.0,1.0,7.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10006,4.234247348787426,3.795142633611473,1.2832056844362403,4.928886374858533,2.0,7.0,3.0,7.0,1.0,7.0,4.0,3.0,1.0,7.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,6.0,7.0,-4.96900271460735,6.055161355122886,4.6223500749790025,1.6203504096990133,6.900264931550526,3.0,8.0,4.0,8.0,2.0,8.0,1.0,1.0,2.0,8.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10007,6.055161355122886,4.6223500749790025,1.6203504096990133,6.900264931550526,3.0,8.0,4.0,8.0,2.0,8.0,1.0,1.0,2.0,8.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,2.0,5.0,-8.405110463765642,6.939729487908297,2.8286000359426398,3.1038565493014074,5.558918770295802,4.0,9.0,1.0,9.0,3.0,1.0,2.0,2.0,3.0,9.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10008,6.939729487908297,2.8286000359426398,3.1038565493014074,5.558918770295802,4.0,9.0,1.0,9.0,3.0,1.0,2.0,2.0,3.0,9.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,1.0,1.0,-6.925977040808515,7.447478535358224,4.763074354973852,4.863259808901005,6.509970901803252,5.0,1.0,2.0,10.0,4.0,2.0,3.0,3.0,4.0,10.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
10009,7.447478535358224,4.763074354973852,4.863259808901005,6.509970901803252,5.0,1.0,2.0,10.0,4.0,2.0,3.0,3.0,4.0,10.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,9.0,7.0,-4.479693807133811,7.408268928527832,5.6267290115356445,3.2858490032832997,7.739513552025194,6.0,2.0,3.0,11.0,5.0,3.0,4.0,1.0,5.0,1.0,1.8896259324581144,4.688389496421809,8.409078314535325,8.426677225950327,8.278032394592222,0.11475512605813365,2.670403099282952,9.998757875742625,1.196832771924865,4.900894960876333,7.900261506026853,1.2221391009385618,6.624091806912479,4.880804455213241,1.9428998208618675,8.786300265827204,1.8148739755773036,6.390528592947753,7.408268781979292,5.626728865932282,0.0
